Date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H,52W L,VOLUME,VALUE ,No of trades 
2016-02-11,EQ,5323.95,5323.95,5190.00,5297.60,5250.00,5217.05,5223.28,7505.00,5190.00,58313.00,304585349.45,8800.00
2016-02-10,EQ,5439.00,5449.00,5279.40,5419.25,5280.50,5297.60,5360.15,7505.00,5279.40,46842.00,251079937.70,7274.00
2016-02-09,EQ,5444.00,5459.85,5391.25,5413.00,5398.80,5419.25,5439.47,7505.00,5375.00,24994.00,135953991.00,5163.00
2016-02-08,EQ,5469.95,5490.00,5401.95,5421.50,5424.00,5413.00,5451.04,7505.00,5375.00,21474.00,117055576.05,4112.00
2016-02-05,EQ,5470.00,5550.00,5385.00,5485.30,5420.00,5421.50,5450.07,7505.00,5375.00,30883.00,168314435.60,5584.00
2016-02-04,EQ,5425.00,5492.95,5425.00,5408.35,5490.00,5485.30,5473.73,7505.00,5375.00,19439.00,106403883.40,3400.00
2016-02-03,EQ,5457.35,5457.35,5400.00,5457.35,5406.00,5408.35,5411.72,7505.00,5375.00,31939.00,172844868.55,6648.00
2016-02-02,EQ,5480.00,5503.90,5420.00,5448.95,5438.05,5457.35,5481.58,7505.00,5375.00,41682.00,228483114.65,10178.00
2016-02-01,EQ,5575.00,5575.00,5420.85,5488.00,5445.00,5448.95,5454.85,7505.00,5375.00,19318.00,105376721.45,6153.00
2016-01-29,EQ,5488.95,5500.00,5469.00,5468.95,5480.00,5488.00,5487.68,7505.00,5375.00,50118.00,275031397.75,8848.00
2016-01-28,EQ,5480.00,5490.00,5450.00,5487.70,5467.60,5468.95,5473.18,7505.00,5375.00,40287.00,220498026.15,6353.00
2016-01-27,EQ,5494.55,5494.55,5451.10,5461.35,5488.00,5487.70,5488.08,7505.00,5375.00,59544.00,326782258.95,4169.00
2016-01-25,EQ,5460.00,5512.00,5448.00,5447.60,5460.00,5461.35,5481.33,7505.00,5375.00,26417.00,144800322.75,5753.00
2016-01-22,EQ,5490.00,5512.40,5431.65,5429.85,5446.00,5447.60,5463.48,7505.00,5375.00,24884.00,135953324.40,3336.00
2016-01-21,EQ,5460.00,5492.00,5404.60,5485.60,5456.00,5429.85,5481.19,7505.00,5375.00,79144.00,433803219.85,5244.00
2016-01-20,EQ,5417.80,5525.00,5375.00,5428.80,5475.00,5485.60,5429.35,7505.00,5375.00,14685.00,79729982.10,3133.00
2016-01-19,EQ,5444.95,5494.00,5390.00,5436.00,5430.05,5428.80,5430.17,7505.00,5390.00,21347.00,115917814.70,4052.00
2016-01-18,EQ,5597.70,5600.00,5400.00,5597.70,5439.80,5436.00,5445.43,7505.00,5400.00,21414.00,116608350.05,6423.00
2016-01-15,EQ,5600.00,5630.00,5572.05,5616.15,5600.00,5597.70,5603.82,7505.00,5400.40,27017.00,151398475.90,4489.00
2016-01-14,EQ,5460.00,5630.20,5432.00,5501.15,5630.20,5616.15,5576.16,7505.00,5400.40,34830.00,194217713.75,8177.00
2016-01-13,EQ,5465.00,5530.00,5400.40,5439.85,5507.00,5501.15,5480.94,7505.00,5400.40,61874.00,339127787.95,7563.00
2016-01-12,EQ,5515.00,5515.00,5408.15,5469.25,5463.00,5439.85,5442.74,7505.00,5408.15,56465.00,307324526.80,7131.00
2016-01-11,EQ,5625.00,5625.00,5435.55,5632.55,5478.00,5469.25,5515.51,7505.00,5435.55,50060.00,276106252.15,9278.00
2016-01-08,EQ,5690.00,5691.00,5615.00,5638.95,5641.10,5632.55,5626.94,7505.00,5501.00,44465.00,250201958.40,5814.00
2016-01-07,EQ,5729.95,5729.95,5621.40,5719.50,5621.50,5638.95,5664.89,7505.00,5501.00,22220.00,125873922.75,5373.00
2016-01-06,EQ,5666.10,5729.55,5655.00,5662.40,5710.00,5719.50,5705.56,7505.00,5501.00,55372.00,315928248.75,9194.00
2016-01-05,EQ,5739.00,5739.00,5650.00,5669.80,5658.00,5662.40,5666.00,7505.00,5501.00,27112.00,153616462.25,5768.00
2016-01-04,EQ,5814.00,5827.00,5652.00,5785.15,5673.95,5669.80,5724.42,7505.00,5501.00,35426.00,202793418.35,9813.00
2016-01-01,EQ,5820.05,5850.00,5775.00,5828.00,5782.05,5785.15,5807.86,7505.00,5501.00,12085.00,70187977.80,4257.00
2015-12-31,EQ,5862.65,5870.05,5803.50,5839.85,5817.30,5828.00,5826.42,7505.00,5501.00,19210.00,111925551.25,4602.00
2015-12-30,EQ,5850.00,5860.00,5790.10,5839.20,5810.50,5839.85,5835.40,7505.00,5501.00,19255.00,112360614.55,5459.00
2015-12-29,EQ,5829.00,5855.00,5795.05,5804.65,5830.00,5839.20,5843.96,7505.00,5501.00,14160.00,82750403.40,4045.00
2015-12-28,EQ,5776.00,5850.65,5750.00,5775.90,5802.00,5804.65,5812.68,7505.00,5501.00,22286.00,129541486.30,4719.00
2015-12-24,EQ,5775.00,5798.00,5725.00,5778.00,5775.00,5775.90,5761.65,7505.00,5501.00,14043.00,80910856.60,3024.00
2015-12-23,EQ,5765.00,5794.00,5730.00,5730.00,5757.00,5778.00,5763.42,7505.00,5501.00,12253.00,70619155.45,3471.00
2015-12-22,EQ,5704.90,5749.00,5680.00,5674.35,5733.00,5730.00,5724.06,7505.00,5501.00,19130.00,109501176.00,5724.00
2015-12-21,EQ,5715.00,5732.00,5665.20,5673.00,5675.00,5674.35,5690.55,7505.00,5501.00,28016.00,159426392.70,7770.00
2015-12-18,EQ,5897.00,5897.00,5630.00,5883.35,5666.35,5673.00,5723.49,7505.00,5501.00,61457.00,351748491.95,12904.00
2015-12-17,EQ,5832.00,5919.95,5820.80,5828.40,5875.05,5883.35,5855.41,7505.00,5501.00,27911.00,163430464.70,4744.00
2015-12-16,EQ,5889.00,5915.00,5821.00,5838.60,5830.00,5828.40,5855.94,7505.00,5501.00,31415.00,183964290.80,7869.00
2015-12-15,EQ,5907.00,5910.00,5813.05,5879.75,5818.05,5838.60,5858.09,7505.00,5501.00,34519.00,202215369.35,11082.00
2015-12-14,EQ,5909.90,5909.90,5782.45,5908.25,5880.00,5879.75,5850.22,7505.00,5501.00,27743.00,162302667.25,5982.00
2015-12-11,EQ,5770.65,5930.00,5765.00,5770.65,5910.00,5908.25,5880.85,7505.00,5501.00,53452.00,314343142.40,12812.00
2015-12-10,EQ,5760.00,5820.00,5750.00,5759.70,5778.00,5770.65,5773.55,7505.00,5501.00,28579.00,165002155.10,7248.00
2015-12-09,EQ,5827.10,5849.00,5752.55,5825.35,5761.50,5759.70,5763.74,7505.00,5501.00,120058.00,691982604.35,8056.00
2015-12-08,EQ,5893.00,5899.70,5820.00,5893.60,5830.10,5825.35,5842.01,7505.00,5501.00,50408.00,294484222.95,6116.00
2015-12-07,EQ,5898.00,5910.00,5819.80,5857.05,5896.00,5893.60,5884.73,7505.00,5501.00,17595.00,103541901.35,4897.00
2015-12-04,EQ,5836.00,5907.00,5805.15,5835.90,5855.00,5857.05,5848.64,7505.00,5501.00,41218.00,241069274.55,12360.00
2015-12-03,EQ,5860.00,5860.00,5820.00,5868.10,5840.00,5835.90,5835.79,7505.00,5501.00,66220.00,386446203.25,5551.00
2015-12-02,EQ,5885.20,5920.00,5834.90,5879.15,5851.15,5868.10,5852.66,7505.00,5501.00,59827.00,350147037.65,7261.00
2015-12-01,EQ,5858.90,5950.00,5858.90,5858.80,5873.00,5879.15,5885.57,7505.00,5501.00,50000.00,294278255.50,13134.00
2015-11-30,EQ,5900.00,5964.15,5850.00,5949.00,5860.05,5858.80,5869.45,7505.00,5501.00,142381.00,835698523.30,25916.00
2015-11-27,EQ,6021.00,6043.25,5905.55,6023.55,5950.00,5949.00,5943.40,7505.00,5501.00,113708.00,675812269.15,11507.00
2015-11-26,EQ,6073.90,6140.00,6006.00,6056.35,6020.50,6023.55,6032.65,7505.00,5501.00,72189.00,435490999.00,12122.00
2015-11-24,EQ,6162.50,6162.50,6050.00,6141.60,6058.00,6056.35,6080.87,7505.00,5501.00,33023.00,200808710.00,5465.00
2015-11-23,EQ,6199.00,6226.00,6110.00,6196.25,6125.00,6141.60,6150.73,7505.00,5501.00,28203.00,173469115.90,6528.00
2015-11-20,EQ,6268.00,6279.00,6180.00,6280.15,6180.05,6196.25,6222.65,7505.00,5501.00,19934.00,124042291.70,4699.00
2015-11-19,EQ,6109.00,6323.00,6085.05,6082.30,6264.90,6280.15,6215.95,7505.00,5501.00,61148.00,380093107.25,10068.00
2015-11-18,EQ,6105.00,6134.90,6068.00,6084.60,6078.05,6082.30,6100.39,7505.00,5501.00,27800.00,169590810.20,4399.00
2015-11-17,EQ,6005.00,6137.85,5951.00,5986.45,6101.50,6084.60,6040.68,7505.00,5501.00,67571.00,408175016.65,11449.00
2015-11-16,EQ,6050.00,6070.00,5962.50,6034.20,5990.00,5986.45,5981.79,7505.00,5501.00,110197.00,659175061.90,7752.00
2015-11-13,EQ,6154.80,6186.00,6014.00,6174.80,6043.95,6034.20,6044.26,7505.00,5501.00,115791.00,699870628.20,14519.00
2015-11-11,EQ,6116.55,6184.95,6116.55,6072.30,6161.15,6174.80,6162.18,7505.00,5501.00,9049.00,55761580.10,1933.00
2015-11-10,EQ,6190.00,6190.00,6050.00,6111.40,6091.00,6072.30,6098.40,7505.00,5501.00,32828.00,200198145.95,5400.00
2015-11-09,EQ,6125.00,6199.95,6099.00,6168.95,6118.95,6111.40,6158.33,7505.00,5501.00,51683.00,318281018.55,7321.00
2015-11-06,EQ,6199.00,6234.95,6151.00,6165.65,6163.00,6168.95,6187.29,7505.00,5501.00,16050.00,99306037.70,2624.00
2015-11-05,EQ,6260.00,6299.00,6150.00,6251.15,6180.00,6165.65,6220.40,7505.00,5501.00,38309.00,238297413.30,6506.00
2015-11-04,EQ,6250.00,6474.00,6219.75,6217.75,6250.00,6251.15,6344.19,7505.00,5501.00,157371.00,998390827.10,20331.00
2015-11-03,EQ,6299.00,6320.00,6205.15,6276.05,6210.00,6217.75,6239.44,7505.00,5501.00,28500.00,177824165.75,8400.00
2015-11-02,EQ,6160.00,6319.00,6150.00,6173.90,6288.00,6276.05,6227.43,7505.00,5501.00,29690.00,184892327.60,6139.00
2015-10-30,EQ,6230.00,6262.00,6150.00,6290.50,6192.05,6173.90,6202.03,7505.00,5501.00,51020.00,316427697.25,12070.00
2015-10-29,EQ,6337.50,6370.00,6251.95,6337.40,6280.00,6290.50,6278.71,7505.00,5501.00,47775.00,299965390.00,7912.00
2015-10-28,EQ,6370.00,6380.05,6300.00,6354.50,6345.00,6337.40,6331.54,7505.00,5501.00,29844.00,188958403.90,8685.00
2015-10-27,EQ,6399.00,6410.00,6345.00,6316.30,6357.00,6354.50,6370.78,7505.00,5501.00,33326.00,212312780.30,8570.00
2015-10-26,EQ,6358.00,6420.00,6280.00,6328.65,6302.40,6316.30,6338.54,7505.00,5501.00,33416.00,211808664.75,9303.00
2015-10-23,EQ,6550.00,6550.00,6311.20,6463.30,6331.00,6328.65,6419.42,7505.00,5501.00,39067.00,250787449.50,10697.00
2015-10-21,EQ,6545.00,6629.00,6440.10,6536.50,6446.00,6463.30,6530.09,7505.00,5501.00,59955.00,391511493.55,10211.00
2015-10-20,EQ,6598.40,6648.50,6510.50,6493.00,6524.00,6536.50,6573.71,7505.00,5501.00,73153.00,480886719.60,11480.00
2015-10-19,EQ,6598.00,6614.40,6452.25,6569.40,6468.00,6493.00,6519.51,7505.00,5501.00,71912.00,468830968.00,12546.00
2015-10-16,EQ,6250.00,6669.95,6170.00,6206.50,6555.00,6569.40,6549.53,7505.00,5501.00,317373.00,2078645068.75,41956.00
2015-10-15,EQ,6195.00,6258.95,6150.50,6210.65,6225.00,6206.50,6197.30,7505.00,5501.00,24109.00,149410717.35,4641.00
2015-10-14,EQ,6199.00,6248.00,6111.00,6151.95,6197.95,6210.65,6196.98,7505.00,5501.00,15619.00,96790620.05,3178.00
2015-10-13,EQ,6267.00,6317.60,6105.15,6256.10,6150.00,6151.95,6155.82,7505.00,5501.00,46265.00,284799056.90,13165.00
2015-10-12,EQ,6417.00,6430.05,6230.00,6416.55,6256.00,6256.10,6284.63,7505.00,5501.00,24060.00,151208166.85,6440.00
2015-10-09,EQ,6367.00,6449.00,6352.55,6367.45,6410.00,6416.55,6408.31,7505.00,5501.00,14875.00,95323678.40,3516.00
2015-10-08,EQ,6392.00,6419.00,6340.35,6337.55,6350.00,6367.45,6375.56,7505.00,5501.00,8972.00,57201489.25,2566.00
2015-10-07,EQ,6490.00,6490.00,6314.70,6495.25,6321.10,6337.55,6382.91,7505.00,5501.00,36934.00,235746378.15,9794.00
2015-10-06,EQ,6480.00,6519.00,6425.00,6478.60,6475.00,6495.25,6483.50,7505.00,5501.00,23236.00,150650607.55,7352.00
2015-10-05,EQ,6450.00,6482.00,6426.00,6422.50,6473.00,6478.60,6467.58,7505.00,5501.00,29433.00,190360176.75,6579.00
2015-10-01,EQ,6364.00,6434.00,6323.15,6367.65,6424.00,6422.50,6392.14,7505.00,5501.00,30309.00,193739507.45,6321.00
2015-09-30,EQ,6250.00,6398.00,6213.40,6179.60,6369.00,6367.65,6312.47,7505.00,5501.00,54871.00,346371573.55,12876.00
2015-09-29,EQ,6188.00,6250.00,6111.00,6219.30,6165.00,6179.60,6186.88,7505.00,5501.00,24187.00,149641965.20,7489.00
2015-09-28,EQ,6245.00,6278.00,6153.00,6212.05,6156.35,6219.30,6229.46,7505.00,5501.00,27813.00,173259954.30,5849.00
2015-09-24,EQ,6288.00,6288.00,6152.35,6219.80,6224.00,6212.05,6205.67,7505.00,5501.00,26846.00,166597464.75,7990.00
